  0.005 1.0000e+00 
  0.006 1.0000e+00 
  0.006 1.0000e+00 
  0.007 1.0000e+00 
  0.008 1.0000e+00 
  0.009 1.0000e+00 
  0.010 1.0000e+00 
  0.011 1.0000e+00 
  0.012 1.0000e+00 
  0.014 1.0000e+00 
  0.016 1.0000e+00 
  0.017 1.0000e+00 
  0.019 1.0000e+00 
  0.022 1.0000e+00 
  0.024 1.0000e+00 
  0.027 1.0000e+00 
  0.031 1.0000e+00 
  0.034 1.0000e+00 
  0.038 1.0000e+00 
  0.043 1.0000e+00 
  0.048 1.0000e+00 
  0.054 1.0000e+00 
  0.060 1.0000e+00 
  0.068 1.0000e+00 
  0.076 1.0000e+00 
  0.085 1.0000e+00 
  0.095 1.0000e+00 
  0.106 1.0000e+00 
  0.119 1.0000e+00 
  0.134 1.0000e+00 
  0.150 1.0000e+00 
  0.167 1.0000e+00 
  0.188 1.0000e+00 
  0.210 1.0000e+00 
  0.235 1.0000e+00 
  0.263 1.0000e+00 
  0.295 1.0000e+00 
  0.330 1.0000e+00 
  0.370 1.0000e+00 
  0.414 1.0000e+00 
  0.464 1.0000e+00 
  0.520 1.0000e+00 
  0.582 1.0000e+00 
  0.652 1.0000e+00 
  0.730 1.0000e+00 
  0.818 1.0000e+00 
  0.916 1.0000e+00 
  1.026 9.3930e-01 
  1.149 7.2256e-01 
  1.286 5.7126e-01 
  1.441 4.6312e-01 
  1.614 3.8366e-01 
  1.807 3.2360e-01 
  2.024 2.7686e-01 
  2.267 2.3956e-01 
  2.538 2.0903e-01 
  2.843 1.8354e-01 
  3.184 1.6192e-01 
  3.566 1.4333e-01 
  3.993 1.2718e-01 
  4.472 1.1306e-01 
  5.008 1.0063e-01 
  5.609 8.9647e-02 
  6.282 7.9917e-02 
  7.035 7.1275e-02 
  7.879 6.3589e-02 
  8.824 5.6748e-02 
  9.882 5.0649e-02 
 11.068 4.5211e-02 
 12.395 4.0360e-02 
 13.882 3.6033e-02 
 15.546 3.2171e-02 
 17.411 2.8724e-02 
 19.499 2.5647e-02 
 21.838 2.2899e-02 
 24.457 2.0446e-02 
 27.390 1.8255e-02 
 30.675 1.6301e-02 
 34.354 1.4555e-02 
 38.474 1.2996e-02 
 43.089 1.1604e-02 
 48.256 1.0362e-02 
 54.044 9.2517e-03 
 60.526 8.2611e-03 
 67.785 7.3766e-03 
 75.915 6.5866e-03 
 85.019 5.8812e-03 
 95.216 5.2513e-03 
106.636 4.6890e-03 
119.425 4.1869e-03 
133.748 3.7386e-03 
149.789 3.3382e-03 
167.754 2.9806e-03 
187.873 2.6614e-03 
210.406 2.3763e-03 
235.640 2.1219e-03 
263.902 1.8947e-03 
295.552 1.6918e-03 
330.999 1.5106e-03 
370.697 1.3488e-03 
415.156 1.2044e-03 
464.948 1.0754e-03 
520.711 9.6026e-04 
583.162 8.5742e-04 
653.102 7.6560e-04 
731.432 6.8360e-04 
819.155 6.1040e-04 
917.400 5.4503e-04 
1027.427 4.8667e-04 
1150.650 4.3455e-04 
1288.653 3.8801e-04 
1443.206 3.4645e-04 
1616.295 3.0936e-04 
1810.144 2.7623e-04 
2027.242 2.4665e-04 
2270.377 2.2023e-04 
2542.672 1.9665e-04 
2847.625 1.7559e-04 
3189.152 1.5678e-04 
3571.639 1.4000e-04 
4000.000 1.2500e-04 
