@                   x                         y                        z            nabs nscat    abslum      temp    dens        mass       cell_tau  next_n
  0.00000000000000000000e+00  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  0.0000e+00  0.0000e+00  0.0000e+00    0
  7.91352000000000000000e+11  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.2649e-11  5.7530e+24  7.3104e-01    0
  8.49145180847254760742e+11  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.0986e-11  6.1731e+24  6.8129e-01    0
  9.11159052047782836914e+11  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  9.5415e-12  6.6239e+24  6.3492e-01    0
  9.77701854587753295898e+11  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  8.2869e-12  7.1077e+24  5.9170e-01    0
  1.04910434058246411133e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  7.1973e-12  7.6268e+24  5.5143e-01    0
  1.12572141728527441406e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  6.2509e-12  8.1837e+24  5.1390e-01    0
  1.20793391116005566406e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  5.4290e-12  8.7814e+24  4.7893e-01    0
  1.29615046078551293945e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  4.7151e-12  9.4227e+24  4.4633e-01    0
  1.39080954800008959961e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  4.0951e-12  1.0111e+25  4.1595e-01    0
  1.49238167738329443359e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  3.5567e-12  1.0849e+25  3.8764e-01    0
  1.60137171490659912109e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  3.0890e-12  1.1642e+25  3.6126e-01    0
  1.71832139737821166992e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  2.6828e-12  1.2492e+25  3.3667e-01    0
  1.84381202515496142578e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  2.3301e-12  1.3404e+25  3.1376e-01    0
  1.97846735150546508789e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  2.0237e-12  1.4383e+25  2.9240e-01    0
  2.12295668298620263672e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.7576e-12  1.5433e+25  2.7250e-01    0
  2.27799820624097412109e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.5265e-12  1.6561e+25  2.5396e-01    0
  2.44436255775964941406e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.3258e-12  1.7770e+25  2.3667e-01    0
  2.62287665433975732422e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.1515e-12  1.9068e+25  2.2056e-01    0
  2.81442780329028759766e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.0001e-12  2.0460e+25  2.0555e-01    0
  3.01996811280754101562e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  8.6856e-13  2.1954e+25  1.9156e-01    0
  3.24051922444487695312e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  7.5435e-13  2.3558e+25  1.7852e-01    0
  3.47717739119917675781e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  6.5516e-13  2.5278e+25  1.6637e-01    0
  3.73111892645473876953e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  5.6902e-13  2.7124e+25  1.5505e-01    0
  4.00360605086867041016e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  4.9420e-13  2.9105e+25  1.4450e-01    0
  4.29599316625981933594e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  4.2922e-13  3.1231e+25  1.3466e-01    0
  4.60973358768571386719e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  3.7278e-13  3.3512e+25  1.2550e-01    0
  4.94638676716941406250e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  3.2376e-13  3.5959e+25  1.1696e-01    0
  5.30762604498192968750e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  2.8119e-13  3.8585e+25  1.0900e-01    0
  5.69524696700808300781e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  2.4422e-13  4.1403e+25  1.0158e-01    0
  6.11117620953742187500e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  2.1211e-13  4.4427e+25  9.4664e-02    0
  6.55748115584100976562e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.8422e-13  4.7671e+25  8.8221e-02    0
  7.03638017213462500000e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.5999e-13  5.1153e+25  8.2217e-02    0
  7.55025363400521386719e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.3896e-13  5.4889e+25  7.6621e-02    0
  8.10165575810764355469e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.2069e-13  5.8897e+25  7.1406e-02    0
  8.69332729794139355469e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.0482e-13  6.3199e+25  6.6546e-02    0
  9.32820916681176171875e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  9.1035e-14  6.7814e+25  6.2017e-02    0
  1.00094570556887363281e+13  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  7.9065e-14  7.2767e+25  5.7796e-02    0
  1.07404571186218554688e+13  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  6.8669e-14  7.8081e+25  5.3863e-02    0
