@lambda, lum*lambda/F, npackets
  0.005 0.0000e+00 0.0000e+00 
  0.006 0.0000e+00 0.0000e+00 
  0.006 0.0000e+00 0.0000e+00 
  0.007 0.0000e+00 0.0000e+00 
  0.008 0.0000e+00 0.0000e+00 
  0.009 0.0000e+00 0.0000e+00 
  0.010 0.0000e+00 0.0000e+00 
  0.011 0.0000e+00 0.0000e+00 
  0.012 0.0000e+00 0.0000e+00 
  0.014 0.0000e+00 0.0000e+00 
  0.016 0.0000e+00 0.0000e+00 
  0.017 0.0000e+00 0.0000e+00 
  0.019 0.0000e+00 0.0000e+00 
  0.022 0.0000e+00 0.0000e+00 
  0.024 0.0000e+00 0.0000e+00 
  0.027 0.0000e+00 0.0000e+00 
  0.031 0.0000e+00 0.0000e+00 
  0.034 0.0000e+00 0.0000e+00 
  0.038 0.0000e+00 0.0000e+00 
  0.043 0.0000e+00 0.0000e+00 
  0.048 0.0000e+00 0.0000e+00 
  0.054 0.0000e+00 0.0000e+00 
  0.060 0.0000e+00 0.0000e+00 
  0.068 0.0000e+00 0.0000e+00 
  0.076 0.0000e+00 0.0000e+00 
  0.085 0.0000e+00 0.0000e+00 
  0.095 0.0000e+00 0.0000e+00 
  0.106 0.0000e+00 0.0000e+00 
  0.119 0.0000e+00 0.0000e+00 
  0.134 0.0000e+00 0.0000e+00 
  0.150 0.0000e+00 0.0000e+00 
  0.167 0.0000e+00 0.0000e+00 
  0.188 0.0000e+00 0.0000e+00 
  0.210 0.0000e+00 0.0000e+00 
  0.235 0.0000e+00 0.0000e+00 
  0.263 0.0000e+00 0.0000e+00 
  0.295 0.0000e+00 0.0000e+00 
  0.330 8.8238e-08 1.0000e+00 
  0.370 1.7648e-07 2.0000e+00 
  0.414 1.5000e-06 1.7000e+01 
  0.464 4.5884e-06 5.2000e+01 
  0.520 1.0677e-05 1.2100e+02 
  0.582 2.5677e-05 2.9100e+02 
  0.652 4.2001e-05 4.7600e+02 
  0.730 7.1737e-05 6.3200e+02 
  0.818 1.0377e-04 0.0000e+00 
  0.916 1.4410e-04 0.0000e+00 
  1.026 3.0866e-04 0.0000e+00 
  1.149 1.1827e-03 0.0000e+00 
  1.286 3.0417e-03 0.0000e+00 
  1.441 5.0765e-03 0.0000e+00 
  1.614 6.8413e-03 0.0000e+00 
  1.807 7.1494e-03 0.0000e+00 
  2.024 6.6570e-03 0.0000e+00 
  2.267 5.6920e-03 0.0000e+00 
  2.538 4.2141e-03 0.0000e+00 
  2.843 3.0686e-03 0.0000e+00 
  3.184 2.0023e-03 0.0000e+00 
  3.566 1.2990e-03 0.0000e+00 
  3.993 7.8205e-04 0.0000e+00 
  4.472 4.7975e-04 0.0000e+00 
  5.008 2.6762e-04 0.0000e+00 
  5.609 1.4921e-04 0.0000e+00 
  6.282 8.4620e-05 0.0000e+00 
  7.035 4.2531e-05 0.0000e+00 
  7.879 2.3912e-05 0.0000e+00 
  8.824 1.0500e-05 0.0000e+00 
  9.882 6.0884e-06 0.0000e+00 
 11.068 3.1766e-06 0.0000e+00 
 12.395 1.4118e-06 0.0000e+00 
 13.882 5.2943e-07 0.0000e+00 
 15.546 2.6471e-07 0.0000e+00 
 17.411 1.7648e-07 0.0000e+00 
 19.499 0.0000e+00 0.0000e+00 
 21.838 8.8238e-08 0.0000e+00 
 24.457 0.0000e+00 0.0000e+00 
 27.390 0.0000e+00 0.0000e+00 
 30.675 0.0000e+00 0.0000e+00 
 34.354 0.0000e+00 0.0000e+00 
 38.474 0.0000e+00 0.0000e+00 
 43.089 0.0000e+00 0.0000e+00 
 48.256 0.0000e+00 0.0000e+00 
 54.044 0.0000e+00 0.0000e+00 
 60.526 0.0000e+00 0.0000e+00 
 67.785 0.0000e+00 0.0000e+00 
 75.915 0.0000e+00 0.0000e+00 
 85.019 0.0000e+00 0.0000e+00 
 95.216 0.0000e+00 0.0000e+00 
106.636 0.0000e+00 0.0000e+00 
119.425 0.0000e+00 0.0000e+00 
133.748 0.0000e+00 0.0000e+00 
149.789 0.0000e+00 0.0000e+00 
167.754 0.0000e+00 0.0000e+00 
187.873 0.0000e+00 0.0000e+00 
210.406 0.0000e+00 0.0000e+00 
235.640 0.0000e+00 0.0000e+00 
263.902 0.0000e+00 0.0000e+00 
295.552 0.0000e+00 0.0000e+00 
330.999 0.0000e+00 0.0000e+00 
370.697 0.0000e+00 0.0000e+00 
415.156 0.0000e+00 0.0000e+00 
464.948 0.0000e+00 0.0000e+00 
520.711 0.0000e+00 0.0000e+00 
583.162 0.0000e+00 0.0000e+00 
653.102 0.0000e+00 0.0000e+00 
731.432 0.0000e+00 0.0000e+00 
819.155 0.0000e+00 0.0000e+00 
917.400 0.0000e+00 0.0000e+00 
1027.427 0.0000e+00 0.0000e+00 
1150.650 0.0000e+00 0.0000e+00 
1288.653 0.0000e+00 0.0000e+00 
1443.206 0.0000e+00 0.0000e+00 
1616.295 0.0000e+00 0.0000e+00 
1810.144 0.0000e+00 0.0000e+00 
2027.242 0.0000e+00 0.0000e+00 
2270.377 0.0000e+00 0.0000e+00 
2542.672 0.0000e+00 0.0000e+00 
2847.625 0.0000e+00 0.0000e+00 
3189.152 0.0000e+00 0.0000e+00 
3571.639 0.0000e+00 0.0000e+00 
4000.000 0.0000e+00 0.0000e+00 
