@                   x                         y                        z            nabs nscat    abslum      temp    dens        mass       cell_tau  next_n
  0.00000000000000000000e+00  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  0.0000e+00  0.0000e+00  0.0000e+00    0
  1.22983200000000000000e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  8.1393e-11  1.3894e+26  7.3104e+00    0
  1.31964778764916381836e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  7.0691e-11  1.4909e+26  6.8129e+00    0
  1.41602290674444360352e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  6.1396e-11  1.5998e+26  6.3492e+00    0
  1.51943639143057202148e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  5.3323e-11  1.7166e+26  5.9170e+00    0
  1.63040226016641552734e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  4.6312e-11  1.8420e+26  5.5143e+00    0
  1.74947207066233959961e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  4.0222e-11  1.9765e+26  5.1390e+00    0
  1.87723766140705224609e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  3.4933e-11  2.1209e+26  4.7893e+00    0
  2.01433409341073120117e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  3.0340e-11  2.2758e+26  4.4633e+00    0
  2.16144280678641918945e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  2.6351e-11  2.4420e+26  4.1595e+00    0
  2.31929500785952636719e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  2.2886e-11  2.6203e+26  3.8764e+00    0
  2.48867530364112646484e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.9877e-11  2.8117e+26  3.6126e+00    0
  2.67042560173025537109e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.7263e-11  3.0170e+26  3.3667e+00    0
  2.86544929502974267578e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.4993e-11  3.2374e+26  3.1376e+00    0
  3.07471575207577587891e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.3022e-11  3.4738e+26  2.9240e+00    0
  3.29926513530045751953e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.1310e-11  3.7275e+26  2.7250e+00    0
  3.54021357117660595703e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  9.8225e-12  3.9997e+26  2.5396e+00    0
  3.79875869794309570312e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  8.5309e-12  4.2918e+26  2.3667e+00    0
  4.07618561848579638672e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  7.4092e-12  4.6052e+26  2.2056e+00    0
  4.37387328796300585938e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  6.4350e-12  4.9416e+26  2.0555e+00    0
  4.69330136792517578125e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  5.5889e-12  5.3024e+26  1.9156e+00    0
