@lambda, lum*lambda/F, npackets
  0.005 0.0000e+00 0.0000e+00 
  0.006 0.0000e+00 0.0000e+00 
  0.006 0.0000e+00 0.0000e+00 
  0.007 0.0000e+00 0.0000e+00 
  0.008 0.0000e+00 0.0000e+00 
  0.009 0.0000e+00 0.0000e+00 
  0.010 0.0000e+00 0.0000e+00 
  0.011 0.0000e+00 0.0000e+00 
  0.012 0.0000e+00 0.0000e+00 
  0.014 0.0000e+00 0.0000e+00 
  0.016 0.0000e+00 0.0000e+00 
  0.017 0.0000e+00 0.0000e+00 
  0.019 0.0000e+00 0.0000e+00 
  0.022 0.0000e+00 0.0000e+00 
  0.024 0.0000e+00 0.0000e+00 
  0.027 0.0000e+00 0.0000e+00 
  0.031 0.0000e+00 0.0000e+00 
  0.034 0.0000e+00 0.0000e+00 
  0.038 0.0000e+00 0.0000e+00 
  0.043 0.0000e+00 0.0000e+00 
  0.048 0.0000e+00 0.0000e+00 
  0.054 0.0000e+00 0.0000e+00 
  0.060 0.0000e+00 0.0000e+00 
  0.068 0.0000e+00 0.0000e+00 
  0.076 0.0000e+00 0.0000e+00 
  0.085 0.0000e+00 0.0000e+00 
  0.095 0.0000e+00 0.0000e+00 
  0.106 0.0000e+00 0.0000e+00 
  0.119 0.0000e+00 0.0000e+00 
  0.134 0.0000e+00 0.0000e+00 
  0.150 0.0000e+00 0.0000e+00 
  0.167 0.0000e+00 0.0000e+00 
  0.188 0.0000e+00 0.0000e+00 
  0.210 0.0000e+00 0.0000e+00 
  0.235 0.0000e+00 0.0000e+00 
  0.263 0.0000e+00 0.0000e+00 
  0.295 0.0000e+00 0.0000e+00 
  0.330 0.0000e+00 0.0000e+00 
  0.370 0.0000e+00 0.0000e+00 
  0.414 0.0000e+00 0.0000e+00 
  0.464 0.0000e+00 0.0000e+00 
  0.520 0.0000e+00 0.0000e+00 
  0.582 0.0000e+00 0.0000e+00 
  0.652 0.0000e+00 0.0000e+00 
  0.730 0.0000e+00 0.0000e+00 
  0.818 0.0000e+00 0.0000e+00 
  0.916 0.0000e+00 0.0000e+00 
  1.026 0.0000e+00 0.0000e+00 
  1.149 0.0000e+00 0.0000e+00 
  1.286 0.0000e+00 0.0000e+00 
  1.441 0.0000e+00 0.0000e+00 
  1.614 0.0000e+00 0.0000e+00 
  1.807 0.0000e+00 0.0000e+00 
  2.024 0.0000e+00 0.0000e+00 
  2.267 0.0000e+00 0.0000e+00 
  2.538 9.7062e-07 3.0000e+00 
  2.843 7.6767e-06 1.3000e+01 
  3.184 4.8177e-05 8.8000e+01 
  3.566 2.6128e-04 4.7800e+02 
  3.993 1.0417e-03 1.6050e+03 
  4.472 3.6549e-03 5.2580e+03 
  5.008 9.8958e-03 1.2859e+04 
  5.609 2.4881e-02 2.9581e+04 
  6.282 5.0566e-02 5.5934e+04 
  7.035 9.8056e-02 9.9542e+04 
  7.879 1.5880e-01 1.4896e+05 
  8.824 2.5049e-01 2.1724e+05 
  9.882 3.3863e-01 2.7196e+05 
 11.068 4.5398e-01 3.3884e+05 
 12.395 5.3104e-01 3.7069e+05 
 13.882 6.2599e-01 4.0755e+05 
 15.546 6.5344e-01 3.9938e+05 
 17.411 6.9699e-01 4.0130e+05 
 19.499 6.6615e-01 3.6129e+05 
 21.838 6.5593e-01 3.3821e+05 
 24.457 5.8471e-01 2.8705e+05 
 27.390 5.4192e-01 2.5365e+05 
 30.675 4.5721e-01 2.0535e+05 
 34.354 4.0442e-01 1.7531e+05 
 38.474 3.2774e-01 1.3750e+05 
 43.089 2.7932e-01 1.1364e+05 
 48.256 2.1914e-01 8.6411e+04 
 54.044 1.8202e-01 6.9700e+04 
 60.526 1.3975e-01 5.2557e+04 
 67.785 1.1349e-01 4.1871e+04 
 75.915 8.5333e-02 3.0337e+04 
 85.019 6.8479e-02 2.4161e+04 
 95.216 5.0571e-02 1.7369e+04 
106.636 3.9699e-02 1.3264e+04 
119.425 2.9674e-02 9.4450e+03 
133.748 2.1333e-02 6.5900e+03 
149.789 1.6254e-02 4.8220e+03 
167.754 1.1509e-02 3.1690e+03 
187.873 8.5344e-03 2.3430e+03 
210.406 5.9044e-03 1.5590e+03 
235.640 4.2762e-03 1.0700e+03 
263.902 2.9284e-03 7.1100e+02 
295.552 2.0883e-03 4.6400e+02 
330.999 1.3967e-03 3.0600e+02 
370.697 9.6514e-04 1.8500e+02 
415.156 6.2993e-04 1.3400e+02 
464.948 4.4384e-04 9.8000e+01 
520.711 2.8590e-04 5.5000e+01 
583.162 2.0107e-04 3.7000e+01 
653.102 1.2858e-04 2.5000e+01 
731.432 8.3297e-05 1.5000e+01 
819.155 5.5593e-05 1.4000e+01 
917.400 3.6088e-05 6.0000e+00 
1027.427 2.1000e-05 5.0000e+00 
1150.650 1.5176e-05 6.0000e+00 
1288.653 9.2648e-06 0.0000e+00 
1443.206 6.9708e-06 0.0000e+00 
1616.295 3.7941e-06 1.0000e+00 
1810.144 3.0000e-06 0.0000e+00 
2027.242 7.9415e-07 0.0000e+00 
2270.377 1.1471e-06 0.0000e+00 
2542.672 7.0591e-07 0.0000e+00 
2847.625 7.0591e-07 0.0000e+00 
3189.152 8.8238e-08 0.0000e+00 
3571.639 0.0000e+00 0.0000e+00 
4000.000 0.0000e+00 0.0000e+00 
