@                   x                         y                        z            nabs nscat    abslum      temp    dens        mass       cell_tau  next_n
  0.00000000000000000000e+00  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  0.0000e+00  0.0000e+00  0.0000e+00    0
  5.87424000000000000000e+11  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.7041e-15  3.4071e+20  7.3104e-05    0
  6.30324127207636840820e+11  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.7041e-15  4.2094e+20  7.8443e-05    0
  6.76357291053939086914e+11  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.7041e-15  5.2007e+20  8.4172e-05    0
  7.25752300151331420898e+11  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.7041e-15  6.4253e+20  9.0319e-05    0
  7.78754673220404418945e+11  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.7041e-15  7.9384e+20  9.6915e-05    0
  8.35627859444829956055e+11  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.7041e-15  9.8078e+20  1.0399e-04    0
  8.96654547949944580078e+11  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.7041e-15  1.2117e+21  1.1159e-04    0
  9.62138072913784423828e+11  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.7041e-15  1.4971e+21  1.1974e-04    0
  1.03240392129470153809e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.7041e-15  1.8496e+21  1.2848e-04    0
  1.10780135066974536133e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.7041e-15  2.2852e+21  1.3786e-04    0
  1.18870512522530297852e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.7041e-15  2.8233e+21  1.4793e-04    0
  1.27551737852876904297e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.7041e-15  3.4881e+21  1.5874e-04    0
  1.36866961234018237305e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.7041e-15  4.3095e+21  1.7033e-04    0
  1.46862484139895556641e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.7041e-15  5.3243e+21  1.8277e-04    0
  1.57587989484639819336e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.7041e-15  6.5781e+21  1.9612e-04    0
  1.69096788572329077148e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.7041e-15  8.1271e+21  2.1044e-04    0
  1.81446086081718847656e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.7041e-15  1.0041e+22  2.2581e-04    0
  1.94697264403056689453e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.7041e-15  1.2405e+22  2.4230e-04    0
  2.08916188740281640625e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.7041e-15  1.5327e+22  2.5999e-04    0
  2.24173534495124365234e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.7041e-15  1.8936e+22  2.7898e-04    0
  2.40545138560376025391e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.7041e-15  2.3395e+22  2.9935e-04    0
  2.58112376268434863281e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.7041e-15  2.8904e+22  3.2122e-04    0
  2.76962565868759765625e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.7041e-15  3.5710e+22  3.4468e-04    0
  2.97189402544692773438e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.7041e-15  4.4120e+22  3.6985e-04    0
  3.18893424126938134766e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.7041e-15  5.4509e+22  3.9686e-04    0
  3.42182510818534863281e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.7041e-15  6.7345e+22  4.2584e-04    0
  3.67172421415214111328e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.7041e-15  8.3203e+22  4.5694e-04    0
  3.93987368686433398438e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.7041e-15  1.0280e+23  4.9031e-04    0
  4.22760636777029101562e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.7041e-15  1.2700e+23  5.2612e-04    0
  4.53635243698292285156e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.7041e-15  1.5691e+23  5.6454e-04    0
  4.86764652201390625000e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.7041e-15  1.9386e+23  6.0577e-04    0
  5.22313532566545507812e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.7041e-15  2.3951e+23  6.5001e-04    0
  5.60458581099419433594e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.7041e-15  2.9591e+23  6.9748e-04    0
  6.01389398403065039062e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.7041e-15  3.6559e+23  7.4842e-04    0
  6.45309431790900195312e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.7041e-15  4.5168e+23  8.0308e-04    0
  6.92436986524989062500e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.7041e-15  5.5805e+23  8.6173e-04    0
  7.43006310906006347656e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.7041e-15  6.8946e+23  9.2466e-04    0
  7.97268760608341601562e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.7041e-15  8.5181e+23  9.9219e-04    0
  8.55494048047691699219e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.7041e-15  1.0524e+24  1.0646e-03    0
