@lambda, lum*lambda/F, npackets
  0.005 0.0000e+00 0.0000e+00 
  0.006 0.0000e+00 0.0000e+00 
  0.006 0.0000e+00 0.0000e+00 
  0.007 0.0000e+00 0.0000e+00 
  0.008 0.0000e+00 0.0000e+00 
  0.009 0.0000e+00 0.0000e+00 
  0.010 0.0000e+00 0.0000e+00 
  0.011 0.0000e+00 0.0000e+00 
  0.012 0.0000e+00 0.0000e+00 
  0.014 0.0000e+00 0.0000e+00 
  0.016 0.0000e+00 0.0000e+00 
  0.017 0.0000e+00 0.0000e+00 
  0.019 0.0000e+00 0.0000e+00 
  0.022 0.0000e+00 0.0000e+00 
  0.024 0.0000e+00 0.0000e+00 
  0.027 0.0000e+00 0.0000e+00 
  0.031 0.0000e+00 0.0000e+00 
  0.034 0.0000e+00 0.0000e+00 
  0.038 0.0000e+00 0.0000e+00 
  0.043 0.0000e+00 0.0000e+00 
  0.048 0.0000e+00 0.0000e+00 
  0.054 0.0000e+00 0.0000e+00 
  0.060 0.0000e+00 0.0000e+00 
  0.068 0.0000e+00 0.0000e+00 
  0.076 0.0000e+00 0.0000e+00 
  0.085 0.0000e+00 0.0000e+00 
  0.095 0.0000e+00 0.0000e+00 
  0.106 0.0000e+00 0.0000e+00 
  0.119 0.0000e+00 0.0000e+00 
  0.134 0.0000e+00 0.0000e+00 
  0.150 0.0000e+00 0.0000e+00 
  0.167 0.0000e+00 0.0000e+00 
  0.188 0.0000e+00 0.0000e+00 
  0.210 0.0000e+00 0.0000e+00 
  0.235 0.0000e+00 0.0000e+00 
  0.263 0.0000e+00 0.0000e+00 
  0.295 0.0000e+00 0.0000e+00 
  0.330 0.0000e+00 0.0000e+00 
  0.370 0.0000e+00 0.0000e+00 
  0.414 0.0000e+00 0.0000e+00 
  0.464 0.0000e+00 0.0000e+00 
  0.520 0.0000e+00 0.0000e+00 
  0.582 0.0000e+00 0.0000e+00 
  0.652 0.0000e+00 0.0000e+00 
  0.730 0.0000e+00 0.0000e+00 
  0.818 0.0000e+00 0.0000e+00 
  0.916 0.0000e+00 0.0000e+00 
  1.026 1.7648e-07 2.0000e+00 
  1.149 5.2942e-07 3.0000e+00 
  1.286 8.8237e-07 3.0000e+00 
  1.441 3.0883e-06 8.0000e+00 
  1.614 9.0002e-06 2.2000e+01 
  1.807 2.0559e-05 3.7000e+01 
  2.024 5.0296e-05 9.1000e+01 
  2.267 1.0183e-04 1.9200e+02 
  2.538 1.8097e-04 3.1600e+02 
  2.843 3.0275e-04 4.6800e+02 
  3.184 4.5893e-04 7.0900e+02 
  3.566 7.2716e-04 1.0950e+03 
  3.993 1.0177e-03 1.4730e+03 
  4.472 1.4889e-03 2.0640e+03 
  5.008 2.0079e-03 2.8560e+03 
  5.609 2.8229e-03 3.8820e+03 
  6.282 3.7049e-03 4.9970e+03 
  7.035 5.1905e-03 7.0760e+03 
  7.879 6.7033e-03 9.1090e+03 
  8.824 9.2523e-03 1.2483e+04 
  9.882 1.1933e-02 1.6198e+04 
 11.068 1.6377e-02 2.2206e+04 
 12.395 2.1071e-02 2.8541e+04 
 13.882 2.8801e-02 3.8873e+04 
 15.546 3.6612e-02 4.9950e+04 
 17.411 4.9705e-02 6.6420e+04 
 19.499 6.1927e-02 8.1564e+04 
 21.838 8.1899e-02 1.0510e+05 
 24.457 9.9033e-02 1.2486e+05 
 27.390 1.2465e-01 1.5099e+05 
 30.675 1.4208e-01 1.6276e+05 
 34.354 1.6679e-01 1.8075e+05 
 38.474 1.7593e-01 1.7793e+05 
 43.089 1.8940e-01 1.7688e+05 
 48.256 1.8211e-01 1.5726e+05 
 54.044 1.7979e-01 1.4294e+05 
 60.526 1.5888e-01 1.1563e+05 
 67.785 1.4429e-01 9.6262e+04 
 75.915 1.1810e-01 7.1819e+04 
 85.019 9.9737e-02 5.5428e+04 
 95.216 7.6808e-02 3.9233e+04 
106.636 6.1365e-02 2.9172e+04 
119.425 4.6107e-02 2.0042e+04 
133.748 3.3030e-02 1.3293e+04 
149.789 2.4810e-02 9.1990e+03 
167.754 1.7252e-02 6.0320e+03 
187.873 1.2518e-02 4.1330e+03 
210.406 8.4119e-03 2.5230e+03 
235.640 6.0068e-03 1.8030e+03 
263.902 3.9900e-03 1.1320e+03 
295.552 2.7756e-03 7.1800e+02 
330.999 1.8015e-03 4.4500e+02 
370.697 1.2541e-03 2.8200e+02 
415.156 7.9698e-04 1.8900e+02 
464.948 5.6208e-04 1.4900e+02 
520.711 3.3840e-04 8.9000e+01 
583.162 2.3639e-04 5.5000e+01 
653.102 1.5257e-04 3.1000e+01 
731.432 9.6885e-05 2.7000e+01 
819.155 6.3530e-05 1.4000e+01 
917.400 4.0939e-05 8.0000e+00 
1027.427 2.6207e-05 1.0000e+01 
1150.650 1.6148e-05 3.0000e+00 
1288.653 1.1735e-05 3.0000e+00 
1443.206 7.3237e-06 1.0000e+00 
1616.295 6.2650e-06 2.0000e+00 
1810.144 2.3822e-06 1.0000e+00 
2027.242 1.1471e-06 0.0000e+00 
2270.377 9.7062e-07 0.0000e+00 
2542.672 2.6472e-07 0.0000e+00 
2847.625 5.2943e-07 0.0000e+00 
3189.152 1.7648e-07 0.0000e+00 
3571.639 4.4119e-07 0.0000e+00 
4000.000 2.6472e-07 0.0000e+00 
