@                   x                         y                        z            nabs nscat    abslum      temp    dens        mass       cell_tau  next_n
  0.00000000000000000000e+00  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  0.0000e+00  0.0000e+00  0.0000e+00    0
  5.98560000000000000000e+11  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.6723e-13  3.5375e+22  7.3104e-03    0
  6.42273399761336059570e+11  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.6723e-13  4.3705e+22  7.8443e-03    0
  6.89179230220838378906e+11  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.6723e-13  5.3997e+22  8.4172e-03    0
  7.39510637594958496094e+11  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.6723e-13  6.6713e+22  9.0319e-03    0
  7.93517794987615722656e+11  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.6723e-13  8.2422e+22  9.6915e-03    0
  8.51469145879802856445e+11  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.6723e-13  1.0183e+23  1.0399e-02    0
  9.13652738432407714844e+11  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.6723e-13  1.2581e+23  1.1159e-02    0
  9.80377657234424682617e+11  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.6723e-13  1.5544e+23  1.1974e-02    0
  1.05197555961308435059e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.6723e-13  1.9204e+23  1.2848e-02    0
  1.12880232414215747070e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.6723e-13  2.3726e+23  1.3786e-02    0
  1.21123981954237036133e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.6723e-13  2.9313e+23  1.4793e-02    0
  1.29969780276628149414e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.6723e-13  3.6216e+23  1.5874e-02    0
  1.39461595570208178711e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.6723e-13  4.4744e+23  1.7033e-02    0
  1.49646607061978906250e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.6723e-13  5.5281e+23  1.8277e-02    0
  1.60575439522263354492e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.6723e-13  6.8299e+23  1.9612e-02    0
  1.72302414895975170898e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.6723e-13  8.4382e+23  2.1044e-02    0
  1.84885822310756225586e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.6723e-13  1.0425e+24  2.2581e-02    0
  1.98388207804062548828e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.6723e-13  1.2880e+24  2.4230e-02    0
  2.12876685209291772461e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.6723e-13  1.5913e+24  2.5999e-02    0
  2.28423269746216845703e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.6723e-13  1.9661e+24  2.7898e-02    0
  2.45105235973842968750e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.6723e-13  2.4290e+24  2.9935e-02    0
  2.63005501884898193359e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.6723e-13  3.0010e+24  3.2122e-02    0
  2.82213041051106054688e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.6723e-13  3.7077e+24  3.4468e-02    0
  3.02823324867815087891e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.6723e-13  4.5808e+24  3.6985e-02    0
  3.24938797096169384766e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.6723e-13  5.6595e+24  3.9686e-02    0
  3.48669383061540478516e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.6723e-13  6.9922e+24  4.2584e-02    0
  3.74133036039199414062e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.6723e-13  8.6388e+24  4.5694e-02    0
  4.01456323543048437500e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.6723e-13  1.0673e+25  4.9031e-02    0
  4.30775056431570117188e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.6723e-13  1.3186e+25  5.2612e-02    0
  4.62234963957975683594e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.6723e-13  1.6292e+25  5.6454e-02    0
  4.95992418119900585938e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.6723e-13  2.0128e+25  6.0577e-02    0
  5.32215210909039453125e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.6723e-13  2.4868e+25  6.5001e-02    0
  5.71083388324053222656e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.6723e-13  3.0724e+25  6.9748e-02    0
  6.12790145292222949219e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.6723e-13  3.7959e+25  7.4842e-02    0
  6.57542785948073925781e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.6723e-13  4.6897e+25  8.0308e-02    0
  7.05563754042050781250e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.6723e-13  5.7941e+25  8.6173e-02    0
  7.57091738600907324219e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.6723e-13  7.1585e+25  9.2466e-02    0
  8.12382860335514355469e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.6723e-13  8.8442e+25  9.9219e-02    0
  8.71711944693145996094e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.6723e-13  1.0927e+26  1.0646e-01    0
  9.35373887881971093750e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.6723e-13  1.3500e+26  1.1424e-01    0
  1.00368512265759882812e+13  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.6723e-13  1.6679e+26  1.2258e-01    0
  1.07698519115739375000e+13  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.6723e-13  2.0606e+26  1.3154e-01    0
  1.15563843260036035156e+13  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.6723e-13  2.5459e+26  1.4114e-01    0
  1.24003579424133769531e+13  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.6723e-13  3.1454e+26  1.5145e-01    0
  1.33059677458088164062e+13  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.6723e-13  3.8861e+26  1.6251e-01    0
  1.42777150848959335938e+13  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.6723e-13  4.8012e+26  1.7438e-01    0
  1.53204300461103710938e+13  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.6723e-13  5.9318e+26  1.8711e-01    0
  1.64392954616429941406e+13  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.6723e-13  7.3287e+26  2.0078e-01    0
  1.76398726707941523438e+13  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.6723e-13  9.0544e+26  2.1544e-01    0
  1.89281291627038867188e+13  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.6723e-13  1.1187e+27  2.3118e-01    0
  2.03104682378567187500e+13  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.6723e-13  1.3821e+27  2.4806e-01    0
  2.17937608357940195312e+13  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.6723e-13  1.7075e+27  2.6617e-01    0
  2.33853796872341640625e+13  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.6723e-13  2.1096e+27  2.8561e-01    0
  2.50932359603541445312e+13  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.6723e-13  2.6064e+27  3.0647e-01    0
  2.69258185833835742188e+13  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.6723e-13  3.2202e+27  3.2885e-01    0
  2.88922364389647304688e+13  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.6723e-13  3.9785e+27  3.5287e-01    0
  3.10022636400064062500e+13  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.6723e-13  4.9154e+27  3.7864e-01    0
  3.32663881120759296875e+13  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.6723e-13  6.0728e+27  4.0629e-01    0
  3.56958637238089765625e+13  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.6723e-13  7.5029e+27  4.3596e-01    0
  3.83027662244522500000e+13  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.6723e-13  9.2697e+27  4.6780e-01    0
  4.11000532665774843750e+13  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.6723e-13  1.1453e+28  5.0197e-01    0
