@lambda, lum*lambda/F, npackets
  0.005 0.0000e+00 0.0000e+00 
  0.006 0.0000e+00 0.0000e+00 
  0.006 0.0000e+00 0.0000e+00 
  0.007 0.0000e+00 0.0000e+00 
  0.008 0.0000e+00 0.0000e+00 
  0.009 0.0000e+00 0.0000e+00 
  0.010 0.0000e+00 0.0000e+00 
  0.011 0.0000e+00 0.0000e+00 
  0.012 0.0000e+00 0.0000e+00 
  0.014 0.0000e+00 0.0000e+00 
  0.016 0.0000e+00 0.0000e+00 
  0.017 0.0000e+00 0.0000e+00 
  0.019 0.0000e+00 0.0000e+00 
  0.022 0.0000e+00 0.0000e+00 
  0.024 0.0000e+00 0.0000e+00 
  0.027 0.0000e+00 0.0000e+00 
  0.031 0.0000e+00 0.0000e+00 
  0.034 0.0000e+00 0.0000e+00 
  0.038 0.0000e+00 0.0000e+00 
  0.043 0.0000e+00 0.0000e+00 
  0.048 0.0000e+00 0.0000e+00 
  0.054 0.0000e+00 0.0000e+00 
  0.060 0.0000e+00 0.0000e+00 
  0.068 0.0000e+00 0.0000e+00 
  0.076 0.0000e+00 0.0000e+00 
  0.085 0.0000e+00 0.0000e+00 
  0.095 0.0000e+00 0.0000e+00 
  0.106 0.0000e+00 0.0000e+00 
  0.119 0.0000e+00 0.0000e+00 
  0.134 0.0000e+00 0.0000e+00 
  0.150 0.0000e+00 0.0000e+00 
  0.167 0.0000e+00 0.0000e+00 
  0.188 0.0000e+00 0.0000e+00 
  0.210 0.0000e+00 0.0000e+00 
  0.235 0.0000e+00 0.0000e+00 
  0.263 0.0000e+00 0.0000e+00 
  0.295 0.0000e+00 0.0000e+00 
  0.330 0.0000e+00 0.0000e+00 
  0.370 0.0000e+00 0.0000e+00 
  0.414 0.0000e+00 0.0000e+00 
  0.464 0.0000e+00 0.0000e+00 
  0.520 0.0000e+00 0.0000e+00 
  0.582 0.0000e+00 0.0000e+00 
  0.652 0.0000e+00 0.0000e+00 
  0.730 0.0000e+00 0.0000e+00 
  0.818 0.0000e+00 0.0000e+00 
  0.916 0.0000e+00 0.0000e+00 
  1.026 0.0000e+00 0.0000e+00 
  1.149 0.0000e+00 0.0000e+00 
  1.286 1.7648e-07 0.0000e+00 
  1.441 1.0589e-06 1.0000e+00 
  1.614 3.7944e-06 1.1000e+01 
  1.807 1.6501e-05 2.8000e+01 
  2.024 5.4885e-05 9.9000e+01 
  2.267 1.2804e-04 2.4500e+02 
  2.538 2.9745e-04 4.9100e+02 
  2.843 6.0858e-04 1.0490e+03 
  3.184 1.1118e-03 1.7850e+03 
  3.566 2.0558e-03 3.1120e+03 
  3.993 3.2988e-03 4.6790e+03 
  4.472 5.4646e-03 7.7520e+03 
  5.008 8.1656e-03 1.1443e+04 
  5.609 1.2587e-02 1.7375e+04 
  6.282 1.7848e-02 2.4334e+04 
  7.035 2.6655e-02 3.5757e+04 
  7.879 3.6311e-02 4.8622e+04 
  8.824 5.1803e-02 6.8408e+04 
  9.882 6.8196e-02 8.8615e+04 
 11.068 9.3954e-02 1.1875e+05 
 12.395 1.1823e-01 1.4512e+05 
 13.882 1.5586e-01 1.8496e+05 
 15.546 1.8758e-01 2.1283e+05 
 17.411 2.3645e-01 2.5499e+05 
 19.499 2.7105e-01 2.7392e+05 
 21.838 3.2477e-01 3.0695e+05 
 24.457 3.5518e-01 3.1154e+05 
 27.390 4.0637e-01 3.2870e+05 
 30.675 4.2509e-01 3.1435e+05 
 34.354 4.6634e-01 3.1466e+05 
 38.474 4.6928e-01 2.8849e+05 
 43.089 4.9361e-01 2.7558e+05 
 48.256 4.7644e-01 2.4148e+05 
 54.044 4.8157e-01 2.2336e+05 
 60.526 4.4306e-01 1.8669e+05 
 67.785 4.2551e-01 1.6306e+05 
 75.915 3.7051e-01 1.3009e+05 
 85.019 3.3579e-01 1.0822e+05 
 95.216 2.7706e-01 8.1470e+04 
106.636 2.3742e-01 6.4205e+04 
119.425 1.9064e-01 4.7493e+04 
133.748 1.4484e-01 3.3294e+04 
149.789 1.1517e-01 2.4208e+04 
167.754 8.3671e-02 1.6180e+04 
187.873 6.3918e-02 1.1304e+04 
210.406 4.4759e-02 7.4840e+03 
235.640 3.3083e-02 5.3240e+03 
263.902 2.2457e-02 3.3580e+03 
295.552 1.6350e-02 2.2480e+03 
330.999 1.0796e-02 1.3850e+03 
370.697 7.6323e-03 9.5600e+02 
415.156 5.0294e-03 6.0200e+02 
464.948 3.5013e-03 3.9900e+02 
520.711 2.2627e-03 2.5600e+02 
583.162 1.5614e-03 1.8000e+02 
653.102 9.9763e-04 1.0500e+02 
731.432 6.8986e-04 5.9000e+01 
819.155 4.3491e-04 4.5000e+01 
917.400 2.9577e-04 3.0000e+01 
1027.427 1.8241e-04 2.1000e+01 
1150.650 1.2690e-04 8.0000e+00 
1288.653 7.6766e-05 6.0000e+00 
1443.206 5.2765e-05 3.0000e+00 
1616.295 3.1765e-05 3.0000e+00 
1810.144 2.2235e-05 3.0000e+00 
2027.242 1.3498e-05 0.0000e+00 
2270.377 9.1767e-06 0.0000e+00 
2542.672 7.9414e-06 3.0000e+00 
2847.625 4.2354e-06 0.0000e+00 
3189.152 2.0293e-06 0.0000e+00 
3571.639 1.0589e-06 1.0000e+00 
4000.000 7.0591e-07 0.0000e+00 
