@lambda, lum*lambda/F, npackets
  0.005 0.0000e+00 0.0000e+00 
  0.006 0.0000e+00 0.0000e+00 
  0.006 0.0000e+00 0.0000e+00 
  0.007 0.0000e+00 0.0000e+00 
  0.008 0.0000e+00 0.0000e+00 
  0.009 0.0000e+00 0.0000e+00 
  0.010 0.0000e+00 0.0000e+00 
  0.011 0.0000e+00 0.0000e+00 
  0.012 0.0000e+00 0.0000e+00 
  0.014 0.0000e+00 0.0000e+00 
  0.016 0.0000e+00 0.0000e+00 
  0.017 0.0000e+00 0.0000e+00 
  0.019 0.0000e+00 0.0000e+00 
  0.022 0.0000e+00 0.0000e+00 
  0.024 0.0000e+00 0.0000e+00 
  0.027 0.0000e+00 0.0000e+00 
  0.031 0.0000e+00 0.0000e+00 
  0.034 0.0000e+00 0.0000e+00 
  0.038 0.0000e+00 0.0000e+00 
  0.043 0.0000e+00 0.0000e+00 
  0.048 0.0000e+00 0.0000e+00 
  0.054 0.0000e+00 0.0000e+00 
  0.060 0.0000e+00 0.0000e+00 
  0.068 0.0000e+00 0.0000e+00 
  0.076 0.0000e+00 0.0000e+00 
  0.085 0.0000e+00 0.0000e+00 
  0.095 0.0000e+00 0.0000e+00 
  0.106 0.0000e+00 0.0000e+00 
  0.119 0.0000e+00 0.0000e+00 
  0.134 0.0000e+00 0.0000e+00 
  0.150 0.0000e+00 0.0000e+00 
  0.167 0.0000e+00 0.0000e+00 
  0.188 0.0000e+00 0.0000e+00 
  0.210 0.0000e+00 0.0000e+00 
  0.235 0.0000e+00 0.0000e+00 
  0.263 0.0000e+00 0.0000e+00 
  0.295 0.0000e+00 0.0000e+00 
  0.330 1.7648e-07 2.0000e+00 
  0.370 5.2943e-07 6.0000e+00 
  0.414 2.0295e-06 2.3000e+01 
  0.464 4.7648e-06 5.4000e+01 
  0.520 1.1824e-05 1.3400e+02 
  0.582 2.3383e-05 2.6500e+02 
  0.652 4.6060e-05 5.2200e+02 
  0.730 6.8561e-05 5.8300e+02 
  0.818 1.0871e-04 0.0000e+00 
  0.916 1.3597e-04 0.0000e+00 
  1.026 3.0751e-04 0.0000e+00 
  1.149 1.2217e-03 0.0000e+00 
  1.286 3.0863e-03 0.0000e+00 
  1.441 5.1768e-03 0.0000e+00 
  1.614 6.9482e-03 0.0000e+00 
  1.807 7.2795e-03 0.0000e+00 
  2.024 6.7800e-03 0.0000e+00 
  2.267 5.7552e-03 0.0000e+00 
  2.538 4.2792e-03 0.0000e+00 
  2.843 3.0825e-03 0.0000e+00 
  3.184 2.0120e-03 0.0000e+00 
  3.566 1.2944e-03 0.0000e+00 
  3.993 7.7861e-04 0.0000e+00 
  4.472 4.7322e-04 0.0000e+00 
  5.008 2.7592e-04 0.0000e+00 
  5.609 1.4824e-04 0.0000e+00 
  6.282 8.6208e-05 0.0000e+00 
  7.035 4.2884e-05 0.0000e+00 
  7.879 2.2677e-05 0.0000e+00 
  8.824 1.0677e-05 0.0000e+00 
  9.882 6.8825e-06 0.0000e+00 
 11.068 3.0883e-06 0.0000e+00 
 12.395 1.5883e-06 0.0000e+00 
 13.882 6.1766e-07 0.0000e+00 
 15.546 7.9414e-07 0.0000e+00 
 17.411 0.0000e+00 0.0000e+00 
 19.499 8.8238e-08 0.0000e+00 
 21.838 8.8238e-08 0.0000e+00 
 24.457 0.0000e+00 0.0000e+00 
 27.390 0.0000e+00 0.0000e+00 
 30.675 0.0000e+00 0.0000e+00 
 34.354 0.0000e+00 0.0000e+00 
 38.474 0.0000e+00 0.0000e+00 
 43.089 0.0000e+00 0.0000e+00 
 48.256 0.0000e+00 0.0000e+00 
 54.044 0.0000e+00 0.0000e+00 
 60.526 0.0000e+00 0.0000e+00 
 67.785 0.0000e+00 0.0000e+00 
 75.915 0.0000e+00 0.0000e+00 
 85.019 0.0000e+00 0.0000e+00 
 95.216 0.0000e+00 0.0000e+00 
106.636 0.0000e+00 0.0000e+00 
119.425 0.0000e+00 0.0000e+00 
133.748 0.0000e+00 0.0000e+00 
149.789 0.0000e+00 0.0000e+00 
167.754 0.0000e+00 0.0000e+00 
187.873 0.0000e+00 0.0000e+00 
210.406 0.0000e+00 0.0000e+00 
235.640 0.0000e+00 0.0000e+00 
263.902 0.0000e+00 0.0000e+00 
295.552 0.0000e+00 0.0000e+00 
330.999 0.0000e+00 0.0000e+00 
370.697 0.0000e+00 0.0000e+00 
415.156 0.0000e+00 0.0000e+00 
464.948 0.0000e+00 0.0000e+00 
520.711 0.0000e+00 0.0000e+00 
583.162 0.0000e+00 0.0000e+00 
653.102 0.0000e+00 0.0000e+00 
731.432 0.0000e+00 0.0000e+00 
819.155 0.0000e+00 0.0000e+00 
917.400 0.0000e+00 0.0000e+00 
1027.427 0.0000e+00 0.0000e+00 
1150.650 0.0000e+00 0.0000e+00 
1288.653 0.0000e+00 0.0000e+00 
1443.206 0.0000e+00 0.0000e+00 
1616.295 0.0000e+00 0.0000e+00 
1810.144 0.0000e+00 0.0000e+00 
2027.242 0.0000e+00 0.0000e+00 
2270.377 0.0000e+00 0.0000e+00 
2542.672 0.0000e+00 0.0000e+00 
2847.625 0.0000e+00 0.0000e+00 
3189.152 0.0000e+00 0.0000e+00 
3571.639 0.0000e+00 0.0000e+00 
4000.000 0.0000e+00 0.0000e+00 
