@photons DONE: 100000000
@Total interactions: 143371423
@Interactions   percent of photons
      0      0.00000
      0      0.00000
      0      0.00000
      0      0.00000
      0      0.00000
      0      0.00000
      0      0.00000
      0      0.00000
      0      0.00000
      0      0.00000
      0      0.00000
      0      0.00000
      0      0.00000
      0      0.00000
      0      0.00000
      0      0.00000
      0      0.00000
      0      0.00000
      0      0.00000
      0      0.00000
      0      0.00000
      0      0.00000
      0      0.00000
      0      0.00000
      0      0.00000
      0      0.00000
      0      0.00000
      0      0.00000
      0      0.00000
      0      0.00000
      0      0.00000
      0      0.00000
      0      0.00000
      0      0.00000
      0      0.00000
      0      0.00000
      0      0.00000
      0      0.00000
      0      0.00000
      0      0.00000
      0      0.00000
      0      0.00000
      0      0.00000
      0      0.00000
      0      0.00000
      0      0.00000
      0      0.00000
      0      0.00000
      0      0.00000
      0      0.00000
      0     100.00000
