@lambda, lum*lambda/F, npackets
  0.005 0.0000e+00 0.0000e+00 
  0.006 0.0000e+00 0.0000e+00 
  0.006 0.0000e+00 0.0000e+00 
  0.007 0.0000e+00 0.0000e+00 
  0.008 0.0000e+00 0.0000e+00 
  0.009 0.0000e+00 0.0000e+00 
  0.010 0.0000e+00 0.0000e+00 
  0.011 0.0000e+00 0.0000e+00 
  0.012 0.0000e+00 0.0000e+00 
  0.014 0.0000e+00 0.0000e+00 
  0.016 0.0000e+00 0.0000e+00 
  0.017 0.0000e+00 0.0000e+00 
  0.019 0.0000e+00 0.0000e+00 
  0.022 0.0000e+00 0.0000e+00 
  0.024 0.0000e+00 0.0000e+00 
  0.027 0.0000e+00 0.0000e+00 
  0.031 0.0000e+00 0.0000e+00 
  0.034 0.0000e+00 0.0000e+00 
  0.038 0.0000e+00 0.0000e+00 
  0.043 0.0000e+00 0.0000e+00 
  0.048 0.0000e+00 0.0000e+00 
  0.054 0.0000e+00 0.0000e+00 
  0.060 0.0000e+00 0.0000e+00 
  0.068 0.0000e+00 0.0000e+00 
  0.076 0.0000e+00 0.0000e+00 
  0.085 0.0000e+00 0.0000e+00 
  0.095 0.0000e+00 0.0000e+00 
  0.106 0.0000e+00 0.0000e+00 
  0.119 0.0000e+00 0.0000e+00 
  0.134 0.0000e+00 0.0000e+00 
  0.150 0.0000e+00 0.0000e+00 
  0.167 0.0000e+00 0.0000e+00 
  0.188 0.0000e+00 0.0000e+00 
  0.210 0.0000e+00 0.0000e+00 
  0.235 0.0000e+00 0.0000e+00 
  0.263 0.0000e+00 0.0000e+00 
  0.295 0.0000e+00 0.0000e+00 
  0.330 0.0000e+00 0.0000e+00 
  0.370 0.0000e+00 0.0000e+00 
  0.414 0.0000e+00 0.0000e+00 
  0.464 0.0000e+00 0.0000e+00 
  0.520 0.0000e+00 0.0000e+00 
  0.582 0.0000e+00 0.0000e+00 
  0.652 0.0000e+00 0.0000e+00 
  0.730 0.0000e+00 0.0000e+00 
  0.818 0.0000e+00 0.0000e+00 
  0.916 1.1648e-04 3.5500e+02 
  1.026 7.2338e-04 1.2550e+03 
  1.149 2.2450e-03 3.5900e+03 
  1.286 6.0845e-03 8.5420e+03 
  1.441 1.3615e-02 1.7489e+04 
  1.614 2.8320e-02 3.3231e+04 
  1.807 4.9145e-02 5.2600e+04 
  2.024 8.2119e-02 8.0389e+04 
  2.267 1.1687e-01 1.0580e+05 
  2.538 1.6361e-01 1.3507e+05 
  2.843 2.0702e-01 1.5761e+05 
  3.184 2.3665e-01 1.6673e+05 
  3.566 2.7342e-01 1.7772e+05 
  3.993 2.8110e-01 1.7030e+05 
  4.472 2.9643e-01 1.6891e+05 
  5.008 2.8143e-01 1.5102e+05 
  5.609 2.7692e-01 1.4014e+05 
  6.282 2.4718e-01 1.1829e+05 
  7.035 2.3044e-01 1.0521e+05 
  7.879 1.9653e-01 8.5340e+04 
  8.824 1.7582e-01 7.3373e+04 
  9.882 1.4476e-01 5.7897e+04 
 11.068 1.2562e-01 4.8368e+04 
 12.395 1.0073e-01 3.8017e+04 
 13.882 8.5080e-02 3.0968e+04 
 15.546 6.6969e-02 2.4022e+04 
 17.411 5.5681e-02 1.9483e+04 
 19.499 4.2829e-02 1.4423e+04 
 21.838 3.5232e-02 1.1862e+04 
 24.457 2.6785e-02 8.7850e+03 
 27.390 2.1701e-02 6.9700e+03 
 30.675 1.6321e-02 5.0420e+03 
 34.354 1.3038e-02 4.0700e+03 
 38.474 9.6726e-03 2.9280e+03 
 43.089 7.6847e-03 2.2720e+03 
 48.256 5.6204e-03 1.5440e+03 
 54.044 4.3212e-03 1.1990e+03 
 60.526 3.1413e-03 8.0700e+02 
 67.785 2.3772e-03 6.0700e+02 
 75.915 1.6471e-03 3.8200e+02 
 85.019 1.2348e-03 2.7900e+02 
 95.216 8.4541e-04 1.8200e+02 
106.636 6.1570e-04 1.2300e+02 
119.425 4.2194e-04 7.9000e+01 
133.748 2.8209e-04 5.4000e+01 
149.789 2.0162e-04 3.3000e+01 
167.754 1.2937e-04 1.9000e+01 
187.873 9.1064e-05 1.9000e+01 
210.406 5.6825e-05 1.1000e+01 
235.640 3.9179e-05 1.2000e+01 
263.902 2.4265e-05 3.0000e+00 
295.552 1.6322e-05 3.0000e+00 
330.999 1.1999e-05 2.0000e+00 
370.697 7.1471e-06 1.0000e+00 
415.156 4.8529e-06 0.0000e+00 
464.948 3.5294e-06 0.0000e+00 
520.711 1.3235e-06 0.0000e+00 
583.162 1.8528e-06 0.0000e+00 
653.102 7.0591e-07 0.0000e+00 
731.432 3.5296e-07 0.0000e+00 
819.155 1.7648e-07 0.0000e+00 
917.400 8.8238e-08 0.0000e+00 
1027.427 2.6472e-07 0.0000e+00 
1150.650 2.6472e-07 0.0000e+00 
1288.653 8.8238e-08 0.0000e+00 
1443.206 0.0000e+00 0.0000e+00 
1616.295 0.0000e+00 0.0000e+00 
1810.144 0.0000e+00 0.0000e+00 
2027.242 0.0000e+00 0.0000e+00 
2270.377 0.0000e+00 0.0000e+00 
2542.672 0.0000e+00 0.0000e+00 
2847.625 0.0000e+00 0.0000e+00 
3189.152 0.0000e+00 0.0000e+00 
3571.639 0.0000e+00 0.0000e+00 
4000.000 0.0000e+00 0.0000e+00 
