@                   x                         y                        z            nabs nscat    abslum      temp    dens        mass       cell_tau  next_n
  8.60559053215875781250e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  8.5704e-15  5.0126e+24  5.3863e-03    0
  9.23406490250529687500e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  7.4435e-15  5.3786e+24  5.0197e-03    0
  9.90843734721482812500e+12  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  6.4648e-15  5.7714e+24  4.6780e-03    0
  1.06320598458264199219e+13  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  5.6147e-15  6.1929e+24  4.3596e-03    0
  1.14085291760975019531e+13  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  4.8764e-15  6.6452e+24  4.0629e-03    0
  1.22417047918479960938e+13  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  4.2352e-15  7.1305e+24  3.7864e-03    0
  1.31357280064402089844e+13  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  3.6784e-15  7.6513e+24  3.5287e-03    0
  1.40950425772463085938e+13  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  3.1947e-15  8.2100e+24  3.2885e-03    0
  1.51244167934188242188e+13  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  2.7746e-15  8.8096e+24  3.0647e-03    0
  1.62289671767517929688e+13  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  2.4098e-15  9.4530e+24  2.8561e-03    0
  1.74141839134380937500e+13  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  2.0929e-15  1.0143e+25  2.6617e-03    0
  1.86859581431319375000e+13  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.8177e-15  1.0884e+25  2.4806e-03    0
  2.00506112409572500000e+13  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.5787e-15  1.1679e+25  2.3118e-03    0
  2.15149262380086796875e+13  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.3711e-15  1.2532e+25  2.1544e-03    0
  2.30861815365213281250e+13  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.1909e-15  1.3447e+25  2.0078e-03    0
  2.47721870872910625000e+13  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  1.0343e-15  1.4429e+25  1.8711e-03    0
  2.65813232091658320312e+13  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  8.9827e-16  1.5483e+25  1.7438e-03    0
  2.85225822435609570312e+13  0.00000000000000000000e+00  0.00000000000000000000e+00    0    0  0.0000e+00    0.0  7.8016e-16  1.6614e+25  1.6251e-03    0
