@lambda, lum*lambda/F, npackets
  0.005 0.0000e+00 0.0000e+00 
  0.006 0.0000e+00 0.0000e+00 
  0.006 0.0000e+00 0.0000e+00 
  0.007 0.0000e+00 0.0000e+00 
  0.008 0.0000e+00 0.0000e+00 
  0.009 0.0000e+00 0.0000e+00 
  0.010 0.0000e+00 0.0000e+00 
  0.011 0.0000e+00 0.0000e+00 
  0.012 0.0000e+00 0.0000e+00 
  0.014 0.0000e+00 0.0000e+00 
  0.016 0.0000e+00 0.0000e+00 
  0.017 0.0000e+00 0.0000e+00 
  0.019 0.0000e+00 0.0000e+00 
  0.022 0.0000e+00 0.0000e+00 
  0.024 0.0000e+00 0.0000e+00 
  0.027 0.0000e+00 0.0000e+00 
  0.031 0.0000e+00 0.0000e+00 
  0.034 0.0000e+00 0.0000e+00 
  0.038 0.0000e+00 0.0000e+00 
  0.043 0.0000e+00 0.0000e+00 
  0.048 0.0000e+00 0.0000e+00 
  0.054 0.0000e+00 0.0000e+00 
  0.060 0.0000e+00 0.0000e+00 
  0.068 0.0000e+00 0.0000e+00 
  0.076 0.0000e+00 0.0000e+00 
  0.085 0.0000e+00 0.0000e+00 
  0.095 0.0000e+00 0.0000e+00 
  0.106 0.0000e+00 0.0000e+00 
  0.119 0.0000e+00 0.0000e+00 
  0.134 0.0000e+00 0.0000e+00 
  0.150 0.0000e+00 0.0000e+00 
  0.167 0.0000e+00 0.0000e+00 
  0.188 0.0000e+00 0.0000e+00 
  0.210 0.0000e+00 0.0000e+00 
  0.235 7.9414e-07 9.0000e+00 
  0.263 4.6766e-06 5.3000e+01 
  0.295 3.2295e-05 3.6600e+02 
  0.330 1.4992e-04 1.6990e+03 
  0.370 6.1052e-04 6.9190e+03 
  0.414 1.9664e-03 2.2285e+04 
  0.464 5.6251e-03 6.3749e+04 
  0.520 1.3016e-02 1.4751e+05 
  0.582 2.7571e-02 3.1247e+05 
  0.652 4.9071e-02 5.5613e+05 
  0.730 7.9678e-02 6.8198e+05 
  0.818 1.2066e-01 0.0000e+00 
  0.916 1.5907e-01 0.0000e+00 
  1.026 2.0340e-01 0.0000e+00 
  1.149 2.3082e-01 0.0000e+00 
  1.286 2.5808e-01 0.0000e+00 
  1.441 2.6074e-01 0.0000e+00 
  1.614 2.6302e-01 0.0000e+00 
  1.807 2.4263e-01 0.0000e+00 
  2.024 2.2107e-01 0.0000e+00 
  2.267 1.9959e-01 0.0000e+00 
  2.538 1.6708e-01 0.0000e+00 
  2.843 1.4328e-01 0.0000e+00 
  3.184 1.1465e-01 0.0000e+00 
  3.566 9.4572e-02 0.0000e+00 
  3.993 7.3333e-02 0.0000e+00 
  4.472 5.7359e-02 0.0000e+00 
  5.008 4.5554e-02 0.0000e+00 
  5.609 3.3933e-02 0.0000e+00 
  6.282 2.6418e-02 0.0000e+00 
  7.035 1.9418e-02 0.0000e+00 
  7.879 1.4900e-02 0.0000e+00 
  8.824 1.0829e-02 0.0000e+00 
  9.882 8.1776e-03 0.0000e+00 
 11.068 5.8797e-03 0.0000e+00 
 12.395 4.3421e-03 0.0000e+00 
 13.882 3.2513e-03 0.0000e+00 
 15.546 2.2819e-03 0.0000e+00 
 17.411 1.7035e-03 0.0000e+00 
 19.499 1.2180e-03 0.0000e+00 
 21.838 8.9888e-04 0.0000e+00 
 24.457 6.4343e-04 0.0000e+00 
 27.390 4.6837e-04 0.0000e+00 
 30.675 3.2454e-04 0.0000e+00 
 34.354 2.3577e-04 0.0000e+00 
 38.474 1.7250e-04 0.0000e+00 
 43.089 1.2168e-04 0.0000e+00 
 48.256 9.2473e-05 0.0000e+00 
 54.044 6.2825e-05 0.0000e+00 
 60.526 4.6590e-05 0.0000e+00 
 67.785 3.1766e-05 0.0000e+00 
 75.915 2.3471e-05 0.0000e+00 
 85.019 1.7736e-05 0.0000e+00 
 95.216 1.0589e-05 0.0000e+00 
106.636 8.0296e-06 0.0000e+00 
119.425 6.4414e-06 0.0000e+00 
133.748 4.3237e-06 0.0000e+00 
149.789 3.2648e-06 0.0000e+00 
167.754 1.9412e-06 0.0000e+00 
187.873 1.5000e-06 0.0000e+00 
210.406 7.9414e-07 0.0000e+00 
235.640 1.0589e-06 0.0000e+00 
263.902 6.1766e-07 0.0000e+00 
295.552 2.6471e-07 0.0000e+00 
330.999 4.4119e-07 0.0000e+00 
370.697 8.8238e-08 0.0000e+00 
415.156 1.7648e-07 0.0000e+00 
464.948 2.6471e-07 0.0000e+00 
520.711 8.8238e-08 0.0000e+00 
583.162 2.6471e-07 0.0000e+00 
653.102 0.0000e+00 0.0000e+00 
731.432 0.0000e+00 0.0000e+00 
819.155 0.0000e+00 0.0000e+00 
917.400 0.0000e+00 0.0000e+00 
1027.427 0.0000e+00 0.0000e+00 
1150.650 0.0000e+00 0.0000e+00 
1288.653 0.0000e+00 0.0000e+00 
1443.206 0.0000e+00 0.0000e+00 
1616.295 0.0000e+00 0.0000e+00 
1810.144 0.0000e+00 0.0000e+00 
2027.242 0.0000e+00 0.0000e+00 
2270.377 0.0000e+00 0.0000e+00 
2542.672 0.0000e+00 0.0000e+00 
2847.625 0.0000e+00 0.0000e+00 
3189.152 0.0000e+00 0.0000e+00 
3571.639 0.0000e+00 0.0000e+00 
4000.000 0.0000e+00 0.0000e+00 
