@lambda, lum*lambda/F, npackets
  0.005 0.0000e+00 0.0000e+00 
  0.006 0.0000e+00 0.0000e+00 
  0.006 0.0000e+00 0.0000e+00 
  0.007 0.0000e+00 0.0000e+00 
  0.008 0.0000e+00 0.0000e+00 
  0.009 0.0000e+00 0.0000e+00 
  0.010 0.0000e+00 0.0000e+00 
  0.011 0.0000e+00 0.0000e+00 
  0.012 0.0000e+00 0.0000e+00 
  0.014 0.0000e+00 0.0000e+00 
  0.016 0.0000e+00 0.0000e+00 
  0.017 0.0000e+00 0.0000e+00 
  0.019 0.0000e+00 0.0000e+00 
  0.022 0.0000e+00 0.0000e+00 
  0.024 0.0000e+00 0.0000e+00 
  0.027 0.0000e+00 0.0000e+00 
  0.031 0.0000e+00 0.0000e+00 
  0.034 0.0000e+00 0.0000e+00 
  0.038 0.0000e+00 0.0000e+00 
  0.043 0.0000e+00 0.0000e+00 
  0.048 0.0000e+00 0.0000e+00 
  0.054 0.0000e+00 0.0000e+00 
  0.060 0.0000e+00 0.0000e+00 
  0.068 0.0000e+00 0.0000e+00 
  0.076 0.0000e+00 0.0000e+00 
  0.085 0.0000e+00 0.0000e+00 
  0.095 0.0000e+00 0.0000e+00 
  0.106 0.0000e+00 0.0000e+00 
  0.119 0.0000e+00 0.0000e+00 
  0.134 0.0000e+00 0.0000e+00 
  0.150 0.0000e+00 0.0000e+00 
  0.167 0.0000e+00 0.0000e+00 
  0.188 0.0000e+00 0.0000e+00 
  0.210 0.0000e+00 0.0000e+00 
  0.235 3.5295e-07 4.0000e+00 
  0.263 2.7354e-06 3.1000e+01 
  0.295 1.5265e-05 1.7300e+02 
  0.330 8.0826e-05 9.1600e+02 
  0.370 3.3186e-04 3.7610e+03 
  0.414 1.0581e-03 1.1992e+04 
  0.464 3.0254e-03 3.4287e+04 
  0.520 7.0693e-03 8.0117e+04 
  0.582 1.4944e-02 1.6936e+05 
  0.652 2.6648e-02 3.0200e+05 
  0.730 4.3256e-02 3.7076e+05 
  0.818 6.5377e-02 0.0000e+00 
  0.916 8.6326e-02 0.0000e+00 
  1.026 1.1005e-01 0.0000e+00 
  1.149 1.2507e-01 0.0000e+00 
  1.286 1.3989e-01 0.0000e+00 
  1.441 1.4128e-01 0.0000e+00 
  1.614 1.4241e-01 0.0000e+00 
  1.807 1.3124e-01 0.0000e+00 
  2.024 1.1974e-01 0.0000e+00 
  2.267 1.0798e-01 0.0000e+00 
  2.538 9.0638e-02 0.0000e+00 
  2.843 7.7624e-02 0.0000e+00 
  3.184 6.2205e-02 0.0000e+00 
  3.566 5.1200e-02 0.0000e+00 
  3.993 3.9691e-02 0.0000e+00 
  4.472 3.1201e-02 0.0000e+00 
  5.008 2.4714e-02 0.0000e+00 
  5.609 1.8425e-02 0.0000e+00 
  6.282 1.4380e-02 0.0000e+00 
  7.035 1.0546e-02 0.0000e+00 
  7.879 8.0777e-03 0.0000e+00 
  8.824 5.8394e-03 0.0000e+00 
  9.882 4.4778e-03 0.0000e+00 
 11.068 3.1745e-03 0.0000e+00 
 12.395 2.3518e-03 0.0000e+00 
 13.882 1.7707e-03 0.0000e+00 
 15.546 1.2324e-03 0.0000e+00 
 17.411 9.3109e-04 0.0000e+00 
 19.499 6.5675e-04 0.0000e+00 
 21.838 4.9157e-04 0.0000e+00 
 24.457 3.3654e-04 0.0000e+00 
 27.390 2.5774e-04 0.0000e+00 
 30.675 1.7921e-04 0.0000e+00 
 34.354 1.3597e-04 0.0000e+00 
 38.474 9.6973e-05 0.0000e+00 
 43.089 6.4414e-05 0.0000e+00 
 48.256 4.6148e-05 0.0000e+00 
 54.044 3.3795e-05 0.0000e+00 
 60.526 2.4795e-05 0.0000e+00 
 67.785 1.6148e-05 0.0000e+00 
 75.915 1.2794e-05 0.0000e+00 
 85.019 9.3532e-06 0.0000e+00 
 95.216 8.6473e-06 0.0000e+00 
106.636 4.6766e-06 0.0000e+00 
119.425 3.1766e-06 0.0000e+00 
133.748 3.0883e-06 0.0000e+00 
149.789 1.8530e-06 0.0000e+00 
167.754 1.7648e-06 0.0000e+00 
187.873 6.1766e-07 0.0000e+00 
210.406 1.0589e-06 0.0000e+00 
235.640 2.6471e-07 0.0000e+00 
263.902 1.7648e-07 0.0000e+00 
295.552 3.5295e-07 0.0000e+00 
330.999 1.7648e-07 0.0000e+00 
370.697 8.8238e-08 0.0000e+00 
415.156 0.0000e+00 0.0000e+00 
464.948 0.0000e+00 0.0000e+00 
520.711 8.8238e-08 0.0000e+00 
583.162 8.8238e-08 0.0000e+00 
653.102 0.0000e+00 0.0000e+00 
731.432 0.0000e+00 0.0000e+00 
819.155 0.0000e+00 0.0000e+00 
917.400 0.0000e+00 0.0000e+00 
1027.427 0.0000e+00 0.0000e+00 
1150.650 0.0000e+00 0.0000e+00 
1288.653 0.0000e+00 0.0000e+00 
1443.206 0.0000e+00 0.0000e+00 
1616.295 0.0000e+00 0.0000e+00 
1810.144 0.0000e+00 0.0000e+00 
2027.242 0.0000e+00 0.0000e+00 
2270.377 0.0000e+00 0.0000e+00 
2542.672 0.0000e+00 0.0000e+00 
2847.625 0.0000e+00 0.0000e+00 
3189.152 0.0000e+00 0.0000e+00 
3571.639 0.0000e+00 0.0000e+00 
4000.000 0.0000e+00 0.0000e+00 
