@lambda, lum*lambda/F, npackets
  0.005 0.0000e+00 0.0000e+00 
  0.006 0.0000e+00 0.0000e+00 
  0.006 0.0000e+00 0.0000e+00 
  0.007 0.0000e+00 0.0000e+00 
  0.008 0.0000e+00 0.0000e+00 
  0.009 0.0000e+00 0.0000e+00 
  0.010 0.0000e+00 0.0000e+00 
  0.011 0.0000e+00 0.0000e+00 
  0.012 0.0000e+00 0.0000e+00 
  0.014 0.0000e+00 0.0000e+00 
  0.016 0.0000e+00 0.0000e+00 
  0.017 0.0000e+00 0.0000e+00 
  0.019 0.0000e+00 0.0000e+00 
  0.022 0.0000e+00 0.0000e+00 
  0.024 0.0000e+00 0.0000e+00 
  0.027 0.0000e+00 0.0000e+00 
  0.031 0.0000e+00 0.0000e+00 
  0.034 0.0000e+00 0.0000e+00 
  0.038 0.0000e+00 0.0000e+00 
  0.043 0.0000e+00 0.0000e+00 
  0.048 0.0000e+00 0.0000e+00 
  0.054 0.0000e+00 0.0000e+00 
  0.060 0.0000e+00 0.0000e+00 
  0.068 0.0000e+00 0.0000e+00 
  0.076 0.0000e+00 0.0000e+00 
  0.085 0.0000e+00 0.0000e+00 
  0.095 0.0000e+00 0.0000e+00 
  0.106 0.0000e+00 0.0000e+00 
  0.119 0.0000e+00 0.0000e+00 
  0.134 0.0000e+00 0.0000e+00 
  0.150 0.0000e+00 0.0000e+00 
  0.167 0.0000e+00 0.0000e+00 
  0.188 0.0000e+00 0.0000e+00 
  0.210 0.0000e+00 0.0000e+00 
  0.235 1.1471e-06 1.3000e+01 
  0.263 7.4120e-06 8.4000e+01 
  0.295 4.7560e-05 5.3900e+02 
  0.330 2.3074e-04 2.6150e+03 
  0.370 9.4238e-04 1.0680e+04 
  0.414 3.0245e-03 3.4277e+04 
  0.464 8.6505e-03 9.8036e+04 
  0.520 2.0086e-02 2.2763e+05 
  0.582 4.2515e-02 4.8182e+05 
  0.652 7.5719e-02 8.5813e+05 
  0.730 1.2293e-01 1.0527e+06 
  0.818 1.8604e-01 0.0000e+00 
  0.916 2.4552e-01 3.5500e+02 
  1.026 3.1418e-01 1.2550e+03 
  1.149 3.5814e-01 3.5900e+03 
  1.286 4.0404e-01 8.5420e+03 
  1.441 4.1564e-01 1.7489e+04 
  1.614 4.3373e-01 3.3231e+04 
  1.807 4.2301e-01 5.2600e+04 
  2.024 4.2292e-01 8.0389e+04 
  2.267 4.2444e-01 1.0580e+05 
  2.538 4.2134e-01 1.3507e+05 
  2.843 4.2792e-01 1.5761e+05 
  3.184 4.1349e-01 1.6673e+05 
  3.566 4.1919e-01 1.7772e+05 
  3.993 3.9413e-01 1.7030e+05 
  4.472 3.8501e-01 1.6891e+05 
  5.008 3.5169e-01 1.5102e+05 
  5.609 3.2928e-01 1.4014e+05 
  6.282 2.8797e-01 1.1829e+05 
  7.035 2.6041e-01 1.0521e+05 
  7.879 2.1951e-01 8.5340e+04 
  8.824 1.9249e-01 7.3373e+04 
  9.882 1.5740e-01 5.7897e+04 
 11.068 1.3468e-01 4.8368e+04 
 12.395 1.0742e-01 3.8017e+04 
 13.882 9.0101e-02 3.0968e+04 
 15.546 7.0484e-02 2.4022e+04 
 17.411 5.8316e-02 1.9483e+04 
 19.499 4.4704e-02 1.4423e+04 
 21.838 3.6623e-02 1.1862e+04 
 24.457 2.7765e-02 8.7850e+03 
 27.390 2.2427e-02 6.9700e+03 
 30.675 1.6824e-02 5.0420e+03 
 34.354 1.3409e-02 4.0700e+03 
 38.474 9.9420e-03 2.9280e+03 
 43.089 7.8708e-03 2.2720e+03 
 48.256 5.7590e-03 1.5440e+03 
 54.044 4.4178e-03 1.1990e+03 
 60.526 3.2127e-03 8.0700e+02 
 67.785 2.4252e-03 6.0700e+02 
 75.915 1.6833e-03 3.8200e+02 
 85.019 1.2618e-03 2.7900e+02 
 95.216 8.6465e-04 1.8200e+02 
106.636 6.2840e-04 1.2300e+02 
119.425 4.3156e-04 7.9000e+01 
133.748 2.8950e-04 5.4000e+01 
149.789 2.0674e-04 3.3000e+01 
167.754 1.3308e-04 1.9000e+01 
187.873 9.3181e-05 1.9000e+01 
210.406 5.8678e-05 1.1000e+01 
235.640 4.0503e-05 1.2000e+01 
263.902 2.5059e-05 3.0000e+00 
295.552 1.6940e-05 3.0000e+00 
330.999 1.2616e-05 2.0000e+00 
370.697 7.3236e-06 1.0000e+00 
415.156 5.0294e-06 0.0000e+00 
464.948 3.7941e-06 0.0000e+00 
520.711 1.4999e-06 0.0000e+00 
583.162 2.2058e-06 0.0000e+00 
653.102 7.0591e-07 0.0000e+00 
731.432 3.5296e-07 0.0000e+00 
819.155 1.7648e-07 0.0000e+00 
917.400 8.8238e-08 0.0000e+00 
1027.427 2.6472e-07 0.0000e+00 
1150.650 2.6472e-07 0.0000e+00 
1288.653 8.8238e-08 0.0000e+00 
1443.206 0.0000e+00 0.0000e+00 
1616.295 0.0000e+00 0.0000e+00 
1810.144 0.0000e+00 0.0000e+00 
2027.242 0.0000e+00 0.0000e+00 
2270.377 0.0000e+00 0.0000e+00 
2542.672 0.0000e+00 0.0000e+00 
2847.625 0.0000e+00 0.0000e+00 
3189.152 0.0000e+00 0.0000e+00 
3571.639 0.0000e+00 0.0000e+00 
4000.000 0.0000e+00 0.0000e+00 
